run_date,best_price_cny,origin_dest,airline,routing,baggage,platform,vs_dec_benchmark,buy_point
2026-06-15,NA,HKG-KIX,NA,NA,NA,全平台403未取到,偏高,是
2026-06-17,NA,HKG-KIX,NA,NA,NA,全平台403未取到,NA,是
2026-06-19,NA,HKG-KIX,多家(HKE/MM/HB等),直飞,NA,全平台403未取到(搜索摘要:12/20-21≈HK$2547),偏高,是
2026-06-21,NA,HKG-KIX,多家(HKE/HB/MM等),直飞,NA,全平台403未取到(HKE Super Sale仅至9月;估算12/23-24≈CNY3200-4600),偏高,是
2026-06-23,NA,HKG-KIX,多家(HKE/MM/HB等),直飞,不含(廉航裸价),全平台403未取到(Peach冬季班表已开售覆盖12/24;估算CNY3200-4600;HKE年末促销不覆盖12/24去程),偏高,是
2026-06-25,NA,HKG-KIX,多家(HKE/CX/HB/MM等),直飞,不含(廉航裸价),全平台403未取到(Kayak路线页12月均价HK$2836≈CNY2650;圣诞峰期估算CNY3000-3800;HKE/HB无圣诞新促;Peach冬季班覆盖12/24),偏高,是
2026-06-27,NA,HKG-KIX,多家(HKE/CX/HB/MM/JAL等),直飞,不含(廉航裸价),全平台403未取到(搜索综合:12月均价HK$2836≈CNY2638/Skyscanner$367USD;CX起HK$3810≈CNY3543;JAL起HK$3976≈CNY3698;HX起HK$2410;HKE促销仅至12/10不覆盖12/23;HX85TUE仅周二至12/21;Peach冬季班覆盖12月已开售;圣诞峰期估算CNY3200-4000;SZX-KIX12月初ANA¥1956),偏高,是
2026-06-29,NA,HKG-KIX,多家(HKE/MM/HB/CX等),直飞,不含(廉航裸价),全平台403未取到(HKE新日本闪促jp_selected_flashsale_20260626出行至12/16不覆盖12/23;往返含税HK$1757起;Peach国际促至10/24不覆;冬季班10/25-3/27覆盖12月但无闪促;12月均价HK$2836≈CNY2638;圣诞峰期估算CNY3400-4000;SZX-KIX估算CNY2400-3200),偏高,是
2026-07-01,NA,HKG-KIX,多家(HKE/MM/HB/CX等),直飞,不含(廉航裸价),全平台403未取到(HKE促jp_selected_flashsale_20260626出行至12/16预订6/28已截止;Peach冬季班覆盖12月无促销;GBA圣诞闪促历史仅覆盖1月;JAL单程12/14=HKD5695;廉航圣诞往返估算CNY3400-4000;CX估算CNY4200-5500;Peach Mega Sale预测7月约75%概率但未确认),偏高,是
2026-07-03,NA,HKG-KIX,多家(MM/UO/HB/CX等),直飞,不含(廉航裸价),全平台403未取到(Peach12月均价HK$1664≈CNY1440圣诞峰估CNY2600-3500;HKE促jp_20260626预订截止不覆12/23;Peach6月促至10/24截止;GBA无圣诞新促;SZX-KIX12月$464USD≈CNY3362;1HKD≈0.865CNY),偏高,是
2026-07-05,NA,HKG-KIX,多家(HKE/MM/HB/CX等),直飞,不含(廉航裸价),全平台403未取到(Skyscanner:HKE往返¥2523起/GBA往返¥2449起(非圣诞);Peach12月10-14¥1697(非圣诞);CX12月起HKD4236≈CNY3664;12月均价HK$2836≈CNY2452;圣诞峰估CNY3200-4500;HKE jp_20260626仅至12/16不覆12/23;Peach冬季班10/25-3/27覆盖12月无圣诞新促;无当前有效廉航圣诞段促销),偏高,是
2026-07-07,NA,HKG-KIX,多家(HKE/MM/HB/CX等),直飞,不含(廉航裸价),全平台403未取到(Skyscanner通用最低¥1427;Momondo72h最低$242USD;圣诞峰估CNY3200-4500;HKEjp促仅至12/16不覆12/23;乐桃冬季班覆盖12月无圣诞新促;无任何廉航圣诞促销),偏高,是
2026-07-09,NA,HKG-KIX,多家(HKE/MM/HB/CX等),直飞,不含(廉航裸价),全平台403未取到(HKE jp促仅至12/16不覆12/23;GBA含20kg托运HK$2101促销仅至12/15不覆12/23;乐桃冬季班覆盖12月无圣诞新促;12月均价HK$2836≈CNY2453;圣诞峰期估算CNY3200-4500;SZX-KIX12月非圣诞约CNY3345;无任何廉航圣诞有效促销),偏高,是
